Url,Sale_Year,Model_Type_List,T/M_Drive_List,Weight_List,MSRP,Brand,Title,Model,Dimension,Wheelbase,Tread front/rear,Dimension(Interior),Weight,Body Type,Doors,Riding Capacity,Engine Model,Maximum Power,Displacement,Compression Ratio,Fuel Supply Equipment,Fuel Type,Cylinders,Maximum Torque,Bore×Stroke,Charger,Fuel Tank Equipment,Steering System,Suspension System(front),Breaking System(front),Tires Size(front),Minimum Turning Radius,Suspension System(rear),Breaking System(rear),Tires Size(rear),Driving Wheel,Transmission,LSD,Gear_ratio,Final Drive Gear Ratio,Datetime
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10128921/,May-20,GT BLACK LIMITED Limited Model,6MTFR,1250kg,"¥3,518,600",TOYOTA,TOYOTA 86 GT BLACK LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1250kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10128920/,May-20,GT BLACK LIMITED Limited Model,6ATFR,1270kg,"¥3,586,000",TOYOTA,TOYOTA 86 GT BLACK LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1270kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124134/,Oct-19,G,6MTFR,1210kg,"¥2,671,900",TOYOTA,TOYOTA 86 G,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1210kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124132/,Oct-19,G,6ATFR,1230kg,"¥2,696,100",TOYOTA,TOYOTA 86 G,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1230kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6AT,,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124130/,Oct-19,GT,6MTFR,1240kg,"¥3,037,100",TOYOTA,TOYOTA 86 GT,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124128/,Oct-19,GT,6ATFR,1260kg,"¥3,105,300",TOYOTA,TOYOTA 86 GT,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1260kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124144/,Oct-19,RACING Limited Model,6MTFR,1240kg,"¥3,205,400",TOYOTA,TOYOTA 86 RACING,4BA-ZN6,4240×1775×1315mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,205/55R16 91V,5.4m,-,-,205/55R16 91V,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124125/,Oct-19,GT LIMITED,6MTFR,1240kg,"¥3,242,800",TOYOTA,TOYOTA 86 GT LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1240kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124123/,Oct-19,GT LIMITED,6ATFR,1260kg,"¥3,311,000",TOYOTA,TOYOTA 86 GT LIMITED,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1260kg,Coupe,2,4,FA20,200ps(147kW)/7000rpm,1998cc,-,-,-,-,20.9kg・m(205N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6AT,-,"1st Gear:3.538, 2nd Gear:2.060, 3rd Gear:1.404, 4th Gear:1.000, 5th Gear:0.713, 6th Gear:0.582, Reverse:3.168",4.1,11/24/2025 9:37
https://www.goo-net-exchange.com/catalog/TOYOTA__86/10124120/,Oct-19,GT LIMITED BLACK PACKAGE,6MTFR,1250kg,"¥3,418,800",TOYOTA,TOYOTA 86 GT LIMITED BLACK PACKAGE,4BA-ZN6,4240×1775×1320mm,2570mm,1520/1540mm,1615×1490×1060mm,1250kg,Coupe,2,4,FA20,207ps(152kW)/7000rpm,1998cc,-,-,-,-,21.6kg・m(212N・m)/-rpm,86.0mm×86.0mm,-,50L,-,-,-,215/45R17 87W,5.4m,-,-,215/45R17 87W,FR,6MT,-,"1st Gear:3.626, 2nd Gear:2.188, 3rd Gear:1.541, 4th Gear:1.213, 5th Gear:1.000, 6th Gear:0.767, Reverse:3.437",4.3,11/24/2025 9:37
